ACRES_AG_1MI,ANIMAL_COUNT,COUNTYNAME,Facility_N,Lagoon,APP_RATE,Regulate_1,SOURCE,Status,WASTE_OUTPUT,X,Y,unit_T,unit_T2,dataID
356,200,Caswell,Stepstone Holsteins,2,4353,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1549800,-79.3239,36.4328,gal/year,gal/acre,1
276,200,Caswell,"John Shumaker Dairy Farm, Inc.",2,5615,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1549800,-79.3283,36.4244,gal/year,gal/acre,1
28,140,Stokes,Providence Farm,1,38745,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1084860,-80.0708,36.3556,gal/year,gal/acre,1
522,190,Rockingham,"Wright Dairy of Rockingham County, Inc.",2,2821,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1472310,-79.7708,36.295,gal/year,gal/acre,1
652,200,Person,Red Oak Farms,1,2377,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1549800,-79.0747,36.2733,gal/year,gal/acre,1
881,264,Rockingham,Beville Bros. Dairy Farm,2,2322,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,2045736,-79.7117,36.255,gal/year,gal/acre,1
559,200,Person,Cross Creek Dairy,1,2772,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1549800,-79.1256,36.2639,gal/year,gal/acre,1
537,240,Guilford,Oakmere Farms,2,3463,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1859760,-79.7486,36.2417,gal/year,gal/acre,1
588,200,Guilford,Reedy Fork Farm,2,2636,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1549800,-79.5578,36.1731,gal/year,gal/acre,1
123,300,Alamance,Piedmont L/S Co Farm,0,5,Cattle - Beef Feeder,NC Dept. of Environmental Quality,Active,660,-79.4994,36.1742,tons/year,ton/acre,1
268,400,Durham,Butner Beef Cattle Field Laboratory,2,3,Cattle - Beef Feeder,NC Dept. of Environmental Quality,Active,880,-78.8061,36.1781,tons/year,ton/acre,1
428,160,Orange,Cedar Grove Farm,2,2897,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1239840,-79.1625,36.1481,gal/year,gal/acre,1
469,200,Orange,Milton Latta & Sons Dairy Inc,1,3304,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1549800,-79.0833,36.1397,gal/year,gal/acre,1
465,200,Guilford,Gerringer Dairy,2,3333,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1549800,-79.5467,36.1331,gal/year,gal/acre,1
340,300,Alamance,Covington Dairy Farm Inc,1,6837,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,2324700,-79.3261,36.0442,gal/year,gal/acre,1
265,100,Orange,"Sykes Dairy, Inc.",1,2924,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,774900,-79.2219,35.9961,gal/year,gal/acre,1
272,150,Orange,Maple View Farm,1,4273,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1162350,-79.1456,35.9803,gal/year,gal/acre,1
287,120,Alamance,M. M. Newlin and Sons Dairy Farm,1,3240,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,929880,-79.2825,35.9731,gal/year,gal/acre,1
489,200,Orange,Lloydtown Farms Inc,1,3169,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1549800,-79.2569,35.9358,gal/year,gal/acre,1
336,150,Orange,Teer Farms Inc,2,3459,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1162350,-79.2269,35.9542,gal/year,gal/acre,1
14,100,Durham,Kingsmill Farm II,0,55350,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,774900,-78.7528,35.9606,gal/year,gal/acre,1
278,700,Randolph,Green Valley Farm,2,19512,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,5424300,-79.8361,35.9,gal/year,gal/acre,1
176,1000,Randolph,"Coltrane Dairy, LLC",2,44028,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,7749000,-79.7756,35.8986,gal/year,gal/acre,1
339,315,Alamance,Hollidays Farm,3,7200,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,2440935,-79.3758,35.8792,gal/year,gal/acre,1
588,225,Alamance,Lindley Dairy Inc. Farm,1,2965,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1743525,-79.3306,35.8997,gal/year,gal/acre,1
379,177,Chatham,Crawford Dairy,1,3619,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,1371573,-79.2378,35.8719,gal/year,gal/acre,1
156,300,Randolph,Beeson Farm,1,14902,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,2324700,-79.7333,35.8517,gal/year,gal/acre,1
312,330,Alamance,Fogleman Dairy,0,8196,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,2557170,-79.4597,35.8483,gal/year,gal/acre,1
318,1600,Randolph,Buttke Dairy Enterprises,3,38989,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,12398400,-79.8433,35.8433,gal/year,gal/acre,1
619,1600,Randolph,Koopman Dairies Inc,3,20030,Cattle - Milk Cow,NC Dept. of Environmental Quality,Active,12398400,-79.6408,35.8561,gal/year,gal/acre,1
