FloodPlain,Impaired,SOURCE,SqFt,Verified,X,Y,geometry
No,No,EWG,19815.0,"within 1,500 ft. of verified lagoon",-78.9382,36.5045,POINT (-78.93819999999999 36.5045)
No,No,EWG,28392.0,"within 1,000 ft. of verified lagoon",-78.935,36.5045,POINT (-78.935 36.5045)
No,No,EWG,8247.0,"within 1,000 ft. of verified lagoon",-79.3865,36.451,POINT (-79.3865 36.451)
No,No,EWG,56573.0,verified lagoon,-79.4564,36.3788,POINT (-79.4564 36.3788)
No,No,EWG,32248.0,verified lagoon,-79.0334,36.3259,POINT (-79.0334 36.3259)
No,No,EWG,15184.0,verified lagoon,-79.1378,36.3176,POINT (-79.1378 36.3176)
No,No,EWG,17610.0,"within 1,000 ft. of verified lagoon",-79.0475,36.3198,POINT (-79.0475 36.3198)
No,No,EWG,10803.0,Unknown,-79.2051,35.8745,POINT (-79.2051 35.8745)
No,No,EWG,20564.0,verified lagoon,-79.6924,35.8346,POINT (-79.69240000000001 35.8346)
No,No,EWG,78579.0,"within 1,000 ft. of verified lagoon",-79.6041,35.2197,POINT (-79.6041 35.2197)
No,No,EWG,32338.0,Unknown,-78.8257,34.914,POINT (-78.8257 34.914)
Yes,No,EWG,265401.0,"within 1,500 ft. of verified lagoon",-79.1365,34.6079,POINT (-79.1365 34.6079)
No,No,EWG,8311.0,verified lagoon,-81.4582,36.2797,POINT (-81.45820000000001 36.2797)
No,Yes,EWG,54283.0,"within 1,000 ft. of verified lagoon",-80.3312,35.64,POINT (-80.3312 35.64)
No,No,EWG,34983.0,verified lagoon,-78.2203,36.4736,POINT (-78.22029999999999 36.4736)
No,No,EWG,55854.0,verified lagoon,-78.181,36.2219,POINT (-78.181 36.2219)
No,No,EWG,15313.0,verified lagoon,-77.4883,35.8493,POINT (-77.4883 35.8493)
No,No,EWG,14576.0,verified lagoon,-77.5089,35.8391,POINT (-77.5089 35.8391)
No,No,EWG,23222.0,"within 1,000 ft. of verified lagoon",-78.0678,35.7744,POINT (-78.06780000000001 35.7744)
No,No,EWG,3747.0,verified lagoon,-78.0885,35.7384,POINT (-78.0885 35.7384)
No,No,EWG,182201.0,verified lagoon,-77.7134,35.7502,POINT (-77.71339999999999 35.7502)
No,No,EWG,19857.0,verified lagoon,-78.2833,35.7245,POINT (-78.2833 35.7245)
No,No,EWG,16768.0,verified lagoon,-78.2159,35.7119,POINT (-78.2159 35.7119)
No,No,EWG,8685.0,verified lagoon,-77.8,35.6203,POINT (-77.8 35.6203)
