ACRES_AG_1MI,BIRD_COUNT,Barns,COUNTYNAME,Operation,APP_RATE,Status,WASTE_OUTPUT,TYPE,X,Y,dataID
71,15952,2,Rockingham,Unknown,10704,Unknown,380,Poultry - Layer,-79.9913,36.4588,1
117,23928,3,Rockingham,Unknown,9744,Unknown,570,Poultry - Layer,-79.7479,36.4385,1
161,72016,8,Caswell,"BALDWIN FAMILY FARM LANDS,LLC",21466,Unknown,1728,Poultry - Layer,-79.2501,36.3697,1
311,31904,4,Rockingham,WEBSTER PROPERTIES LLC,4887,Unknown,760,Poultry - Layer,-80.0031,36.339,1
368,15952,2,Rockingham,Unknown,2065,Unknown,380,Poultry - Layer,-79.7306,36.3533,1
46,36008,4,Caswell,Unknown,37565,Unknown,864,Poultry - Layer,-79.2919,36.3111,1
244,7976,1,Rockingham,Unknown,1557,Unknown,190,Poultry - Layer,-79.9805,36.282,1
436,7976,1,Rockingham,Unknown,872,Unknown,190,Poultry - Layer,-79.8652,36.2919,1
240,36008,4,Caswell,Unknown,7200,Unknown,864,Poultry - Layer,-79.491,36.2753,1
204,18004,2,Caswell,Unknown,4235,Unknown,432,Poultry - Layer,-79.4195,36.2787,1
69,27006,3,Caswell,Unknown,18783,Unknown,648,Poultry - Layer,-79.2654,36.2822,1
368,36008,4,Caswell,Unknown,4696,Unknown,864,Poultry - Layer,-79.3073,36.2573,1
207,18004,2,Caswell,Unknown,4174,Unknown,432,Poultry - Layer,-79.1573,36.2768,1
808,85755,5,Guilford,Unknown,3668,Unknown,1482,Poultry - Layer,-79.6677,36.2244,1
751,102906,6,Guilford,Unknown,4735,Unknown,1778,Poultry - Layer,-79.6055,36.222,1
463,53880,4,Alamance,LEWIS BROTHERS LLC,3045,Unknown,705,Poultry - Broiler,-79.5146,36.2473,1
510,11792,2,Orange,Unknown,1094,Unknown,279,Poultry - Layer,-79.2261,36.212,1
526,17688,3,Orange,Unknown,1593,Unknown,419,Poultry - Layer,-79.196,36.2148,1
282,11792,2,Orange,Unknown,1979,Unknown,279,Poultry - Layer,-79.0052,36.2136,1
562,11792,2,Orange,JOHN POPE FARMS LLC,993,Unknown,279,Poultry - Layer,-79.1766,36.1949,1
584,17688,3,Orange,Unknown,1435,Unknown,419,Poultry - Layer,-79.1341,36.1958,1
532,13470,1,Alamance,Unknown,662,Unknown,176,Poultry - Broiler,-79.3255,36.1645,1
428,17688,3,Orange,Unknown,1958,Unknown,419,Poultry - Layer,-79.2471,36.1671,1
316,17688,3,Orange,Unknown,2652,Unknown,419,Poultry - Layer,-79.2388,36.1664,1
