ACRES_AG_1MI,ANIMAL_COUNT,COUNTYNAME,Lagoon,Operation,APP_RATE,Regulate_1,SOURCE,Status,WASTE_OUTPUT,X,Y,geometry
28,800,Stokes,1,Edsel Bennett Feeder Pig Farm,110314,Swine - Farrow to Feeder,NC Dept. of Environmental Quality,Active,3088800,-80.1675,36.4669,POINT (-80.1675 36.4669)
196,1800,Rockingham,2,Eagle Falls Hog Farm,8513,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1668600,-79.8175,36.4228,POINT (-79.8175 36.4228)
320,260,Person,1,Thomas Farms Pork Inc. #2,8513,Swine - Farrow to Finish,NC Dept. of Environmental Quality,Active,2724280,-78.9142,36.4247,POINT (-78.91419999999999 36.4247)
93,1205,Rockingham,2,Massey Creek Farms,41501,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Expired,3859615,-79.8311,36.3847,POINT (-79.83110000000001 36.3847)
520,200,Person,2,James Thomas Farm,4030,Swine - Farrow to Finish,NC Dept. of Environmental Quality,Active,2095600,-78.845,36.3372,POINT (-78.845 36.3372)
561,445,Person,2,Foushee Farms LLC,152,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,84995,-79.0053,36.3253,POINT (-79.00530000000001 36.3253)
727,1300,Person,1,Thomas Farms Pork Inc.,1658,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1205100,-78.8833,36.3214,POINT (-78.88330000000001 36.3214)
421,1140,Rockingham,2,Hill Top Farm,8673,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,3651420,-79.6161,36.2731,POINT (-79.6161 36.2731)
222,1100,Person,4,Boyette Swine Farm,4593,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1019700,-79.0194,36.2672,POINT (-79.0194 36.2672)
492,4000,Orange,2,Beaver Creek Farm,7537,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3708000,-79.0625,36.2292,POINT (-79.0625 36.2292)
209,250,Guilford,3,NC A&T Porcine Research Laboratory,4618,Swine - Farrow to Feeder,NC Dept. of Environmental Quality,Active,965250,-79.7267,36.0667,POINT (-79.72669999999999 36.0667)
359,4100,Guilford,3,Ward Farms,10587,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3800700,-79.6625,36.0239,POINT (-79.66249999999999 36.0239)
129,5000,Guilford,1,Robert Dale Holt,7403,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,955000,-79.5533,35.9383,POINT (-79.55329999999999 35.9383)
187,1470,Guilford,2,Bruce A. Humble,7287,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1362690,-79.5625,35.9161,POINT (-79.5625 35.9161)
276,600,Alamance,1,Randall Lewis Farm 2,2015,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,556200,-79.3033,35.87,POINT (-79.30329999999999 35.87)
220,1900,Randolph,1,Baker Farm,8006,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1761300,-79.8917,35.8303,POINT (-79.8917 35.8303)
351,1200,Randolph,1,"KLS Swine Farm, LLC",10950,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,3843600,-79.6272,35.8119,POINT (-79.6272 35.8119)
349,2200,Randolph,3,Jester Ridge Farm,5844,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2039400,-79.5964,35.775,POINT (-79.5964 35.775)
316,2953,Randolph,1,Oakland Farms,8663,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2737431,-79.6233,35.6992,POINT (-79.6233 35.6992)
83,4400,Chatham,1,Meadow Creek Farm,49142,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4078800,-79.4,35.6833,POINT (-79.40000000000001 35.6833)
124,12400,Randolph,2,Applefield Farm-Lower & Upper,92700,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,11494800,-79.6153,35.6208,POINT (-79.6153 35.6208)
141,2640,Randolph,1,Craven Farms,17357,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2447280,-79.575,35.6328,POINT (-79.575 35.6328)
43,2900,Chatham,1,Thurman Jessup Farm,62519,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2688300,-79.5319,35.6053,POINT (-79.53189999999999 35.6053)
790,787,Davidson,1,Loflin Farms,923,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,729549,-80.0692,35.5978,POINT (-80.0692 35.5978)
46,8025,Randolph,4,Copperhead Farm,161721,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,7439175,-79.6931,35.5639,POINT (-79.6931 35.5639)
323,2400,Harnett,1,Slippery Rock Farm,6888,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2224800,-78.8859,35.5416,POINT (-78.88590000000001 35.5416)
145,6953,Moore,8,Allred Farms,9159,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1328023,-79.6475,35.4691,POINT (-79.64749999999999 35.4691)
35,2940,Moore,2,Key Farm,77868,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2725380,-79.5945,35.4747,POINT (-79.5945 35.4747)
60,7104,Montgomery,2,Bobby Ray Atkins - Nursery #1 & 2,22614,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1356864,-79.8522,35.4416,POINT (-79.8522 35.4416)
145,6953,Moore,8,Allred Farms,9159,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1328023,-79.6475,35.4691,POINT (-79.64749999999999 35.4691)
35,2940,Moore,2,Key Farm,77868,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2725380,-79.5945,35.4747,POINT (-79.5945 35.4747)
20,806,Moore,3,Dixie Farms,129081,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,2581618,-79.4755,35.4512,POINT (-79.4755 35.4512)
134,900,Harnett,1,Keith Thomas (P-60),6226,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,834300,-78.8677,35.4347,POINT (-78.8677 35.4347)
8,2400,Moore,2,Blue Ribbon Swine,57300,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,458400,-79.4525,35.4007,POINT (-79.4525 35.4007)
532,1536,Harnett,1,K & J Farm,551,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,293376,-78.8872,35.3898,POINT (-78.88720000000001 35.3898)
474,2400,Harnett,1,P-62,16218,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7687200,-78.8737,35.3601,POINT (-78.8737 35.3601)
120,3272,Moore,3,Wet Creek Farm,87335,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,10480216,-79.6357,35.3243,POINT (-79.6357 35.3243)
9,2940,Moore,1,Loblolly Farm,302820,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2725380,-79.5414,35.3484,POINT (-79.5414 35.3484)
187,3552,Lee,1,Jimmy Dickens Farm,3628,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,678432,-79.2175,35.3386,POINT (-79.2175 35.3386)
73,5880,Harnett,2,Phillip Page Farm,74668,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5450760,-78.9705,35.3261,POINT (-78.9705 35.3261)
317,7350,Harnett,2,"W. Thomas Butler Farms, LLC",21494,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,6813450,-78.9431,35.3223,POINT (-78.9431 35.3223)
131,1250,Moore,2,Indian Hills Farm,36842,Swine - Farrow to Feeder,NC Dept. of Environmental Quality,Active,4826250,-79.6457,35.3255,POINT (-79.64570000000001 35.3255)
416,5880,Harnett,2,Black Farm,13103,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5450760,-78.9394,35.296,POINT (-78.93940000000001 35.296)
186,2200,Harnett,2,Carroll's Foods Inc. Farm 86 & 92,45668,Swine - Farrow to Feeder,NC Dept. of Environmental Quality,Active,8494200,-79.1556,35.2565,POINT (-79.15560000000001 35.2565)
377,8700,Montgomery,2,Little River Farm,4408,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1661700,-79.9209,35.2193,POINT (-79.9209 35.2193)
156,7920,Harnett,1,S-6 & Buffalo Ridge Farm,47063,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,7341840,-79.1295,35.2098,POINT (-79.12949999999999 35.2098)
71,7104,Montgomery,2,Naked Creek Farm,19111,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1356864,-79.7031,35.2008,POINT (-79.70310000000001 35.2008)
593,3552,Anson,1,Kevin Martin Farm,1144,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,678432,-80.1162,35.1562,POINT (-80.11620000000001 35.1562)
515,3600,Anson,6,Fox Ridge Complex,22390,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,11530800,-80.15,35.1333,POINT (-80.15000000000001 35.1333)
515,2000,Anson,6,Fox Ridge Complex,742,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,382000,-80.15,35.1333,POINT (-80.15000000000001 35.1333)
102,3520,Richmond,2,Neal Grant Farm,31991,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3263040,-79.7986,35.1337,POINT (-79.79859999999999 35.1337)
415,8800,Richmond,1,Wilson's Swine Farm,19657,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,8157600,-79.6073,35.1203,POINT (-79.6073 35.1203)
1248,3552,Richmond,1,Pee Dee Farm,544,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,678432,-79.9883,35.1028,POINT (-79.9883 35.1028)
294,7920,Richmond,1,Chris Yaklin Farm,24972,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,7341840,-79.792,35.1145,POINT (-79.792 35.1145)
293,1205,Richmond,2,Tar Heel Swine,13173,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,3859615,-79.7219,35.1171,POINT (-79.72190000000001 35.1171)
222,5300,Richmond,3,Rocky Ridge Farm,22131,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4913100,-79.7871,35.0898,POINT (-79.7871 35.0898)
289,7040,Anson,1,A. Dale McRae Farm,4653,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1344640,-80.0626,35.0504,POINT (-80.0626 35.0504)
255,3123,Richmond,2,Clear View Farm,11353,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2895021,-79.792,35.0769,POINT (-79.792 35.0769)
247,5760,Hoke,1,Double C Farms,21617,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5339520,-79.3792,35.02,POINT (-79.3792 35.02)
138,2880,Hoke,1,Roy Wood Jr. Farm,19346,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2669760,-79.3311,35.0311,POINT (-79.33110000000001 35.0311)
559,3520,Anson,1,Louis Winfree Farm,1203,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,672320,-80.0632,35.0391,POINT (-80.06319999999999 35.0391)
49,325,Richmond,1,Sullivan Poultry,6148,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,301275,-79.7109,35.0094,POINT (-79.7109 35.0094)
476,770,Hoke,1,R&R Pork Farm,5181,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,2466310,-79.3186,35.0032,POINT (-79.3186 35.0032)
136,8960,Richmond,1,J-D Farms LLC,61073,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,8305920,-79.6312,34.9714,POINT (-79.63120000000001 34.9714)
82,1700,Hoke,1,Farm 6707,66404,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,5445100,-79.3895,34.9985,POINT (-79.3895 34.9985)
178,3552,Hoke,1,Upchurch & Willis / C & M Farm,3811,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,678432,-79.2019,34.9904,POINT (-79.20189999999999 34.9904)
136,17413,Richmond,1,J-D Farms LLC,24455,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,3325883,-79.6312,34.9714,POINT (-79.63120000000001 34.9714)
877,3520,Hoke,1,"T.B. Upchurch, Inc",3721,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3263040,-79.1789,34.9599,POINT (-79.1789 34.9599)
148,2400,Scotland,1,Farm 7687,51941,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7687200,-79.4909,34.9322,POINT (-79.4909 34.9322)
237,2400,Scotland,1,Farm 7689,32435,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7687200,-79.4716,34.9367,POINT (-79.4716 34.9367)
678,2400,Hoke,1,Farm 5786,11338,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7687200,-79.3216,34.9413,POINT (-79.3216 34.9413)
1037,5000,Hoke,1,Hendrix Livestock Inc.,4470,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4635000,-79.2723,34.9481,POINT (-79.2723 34.9481)
76,2302,Richmond,1,Cognac Farms,97017,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7373306,-79.6246,34.9609,POINT (-79.6246 34.9609)
803,4800,Hoke,1,Blue Farm & White Farm,19146,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,15374400,-79.3175,34.9145,POINT (-79.3175 34.9145)
718,3552,Robeson,1,Hugs Pigs,945,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,678432,-79.0532,34.9267,POINT (-79.0532 34.9267)
16,3552,Anson,1,Live Oak Farms #1,42402,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,678432,-80.0478,34.9084,POINT (-80.0478 34.9084)
