Facility,Region,County,Y,X,MMBTU_potential,Type,Type_Num
"Mr. Holmes Sites #1 - #14, #1 7, #18, Blueberry Sow, Bladen ,Ammon, and Cypress Creek Farm",Fayetteville,Bladen,34.819191,-78.544711,92586,Multiple,7
Somerset Farm,Washington,Washington,35.8889,-76.5358,79945,Swine - Feeder to Finish,3
White Oaks Farm Inc,Washington,Wayne,35.5161,-77.9231,75802,Multiple,7
"Magnolia III, DM Section 4 Sites 1-4, Section 3 Sites 4-5",Wilmington,Duplin,34.8875,-78.1314,68859,Multiple,7
Farms 27-30,Raleigh,Northampton,36.53905,-77.617575,59143,Swine - Feeder to Finish,3
"5071, 5072, 5073, & 5074",Fayetteville,Robeson,34.693053,-79.342,47696,Swine - Feeder to Finish,3
DM Farms Sec 2 Sites 1-4,Wilmington,Duplin,34.8672,-78.1514,42926,Swine - Wean to Feeder,2
"Stockinghead Creek Farm, LLC Farm",Wilmington,Duplin,34.9131,-77.9531,41258,Swine - Feeder to Finish,3
"Magnolia 4 , Melville I & II, DELL, DM Section 1 Site 4",Fayetteville,Sampson,34.866922,-78.189213,35609,Swine - Feeder to Finish,3
"DM Farms Sec 3 Sites 1-3, Wendy 3-8",Wilmington,Duplin,34.8825,-78.1094,33666,Swine - Feeder to Finish,3
Doug Jernigan Farms,Washington,Wayne,35.230148,-78.098348,29328,Multiple,7
Farm 2037 and 2038,Fayetteville,Sampson,35.000136,-78.222075,28444,Swine - Feeder to Finish,3
The Pig Ranch,Washington,Lenoir,35.0437,-77.687272,27112,Swine - Feeder to Finish,3
D.M. Batts #1 - 5,Fayetteville,Sampson,34.889689,-78.178956,25149,Swine - Feeder to Finish,3
Circle K Farm I & II,Wilmington,Duplin,34.9228,-77.9597,23936,Swine - Wean to Feeder,2
"Double B Farms, Inc. 1-24",Wilmington,Columbus,34.2436,-78.8614,23902,Swine - Feeder to Finish,3
5075 & 5076,Fayetteville,Robeson,34.624506,-79.390653,23848,Swine - Feeder to Finish,3
Smith-Alderman Farm,Wilmington,Duplin,34.7806,-78.1694,23219,Swine - Feeder to Finish,3
Waycross Farm,Wilmington,Duplin,34.8489,-78.1297,23219,Swine - Feeder to Finish,3
